id,imo,from,fromEta,fromEtaTimestamp,fromEts,fromEtsTimestamp,to,toEta,toEtaTimestamp,toEts,toEtsTimestamp,hoursBetweenFromEtsAndtoEtaDepDest,atSea,inAnchorageBeforeEnteringDeparture,inDeparturePort,inDepartureBerth,inAnchorageLeavingDeparture,transitAnchorageTime,inAnchorageBeforeEnteringDestinationPort,inDestinationPort,inDestinationBerth,portPolygonsVisited,berthPolygonsVisited,anchoragePolygonsVisited,destinationComponent,query,approved,approvedBy,approvedDateTime,metricScore,pathScore,disapproved,disapprovedBy,disapprovedDateTime,duplicatedId
IMO{'7222607'}-IDJKT-2018-06-09IDJKT-2018-06-14,7222607,IDJKT,1528559663000,2018-06-09T15:54:23Z,1528645057000,2018-06-10T15:37:37Z,IDJKT,1528962748000,2018-06-14T07:52:28Z,1531150978000,2018-07-09T15:42:58Z,88,88,0,23,0,0,0,584,23,0,2,0,1,Anchorage,7222607 AND positionreceived:>=1528559663000 AND positionreceived:<=1531065346000,0,,,,,0,,,IMO{'7222607'}-IDJKT-2018-05-26IDJKT-2018-06-02
IMO{'7222607'}-IDJKT-2018-07-08IDJKT-2018-07-17,7222607,IDJKT,1531065346000,2018-07-08T15:55:46Z,1531150978000,2018-07-09T15:42:58Z,IDJKT,1531799284000,2018-07-17T03:48:04Z,1531928979000,2018-07-18T15:49:39Z,180,134,0,23,0,0,45,0,36,0,2,0,1,Port,7222607 AND positionreceived:>=1531065346000 AND positionreceived:<=1531928979000,0,,,,,0,,,
IMO{'7222607'}-IDJKT-2018-07-17IDJKT-2018-07-22,7222607,IDJKT,1531799284000,2018-07-17T03:48:04Z,1531928979000,2018-07-18T15:49:39Z,IDJKT,1532275154000,2018-07-22T15:59:14Z,1532764563000,2018-07-28T07:56:03Z,96,96,0,36,0,0,0,107,28,0,2,0,1,Anchorage,7222607 AND positionreceived:>=1531799284000 AND positionreceived:<=1532663511000,0,,,,,0,,,
IMO{'7222607'}-IDJKT-2018-07-27IDJKT-2018-08-02,7222607,IDJKT,1532663511000,2018-07-27T03:51:51Z,1532764563000,2018-07-28T07:56:03Z,IDJKT,1533225498000,2018-08-02T15:58:18Z,1533887083000,2018-08-10T07:44:43Z,128,115,0,28,0,0,11,23,159,0,2,0,2,Anchorage,7222607 AND positionreceived:>=1532663511000 AND positionreceived:<=1533311892000,0,,,,,0,,,IMO{'7222607'}-IDJKT-2018-08-03IDJKT-2018-08-16
IMO{'7222607'}-IDJKT-2018-08-03IDJKT-2018-08-16,7222607,IDJKT,1533311892000,2018-08-03T15:58:12Z,1533887083000,2018-08-10T07:44:43Z,IDJKT,1534433792000,2018-08-16T15:36:32Z,1534636574000,2018-08-18T23:56:14Z,151,112,0,159,0,0,39,23,32,0,2,0,2,Anchorage,7222607 AND positionreceived:>=1533311892000 AND positionreceived:<=1534520161000,0,,,,,0,,,IMO{'7222607'}-IDJKT-2018-07-27IDJKT-2018-08-02
IMO{'7222607'}-IDJKT-2018-08-17IDANR-2018-08-24,7222607,IDJKT,1534520161000,2018-08-17T15:36:01Z,1534636574000,2018-08-18T23:56:14Z,IDANR,1535138179000,2018-08-24T19:16:19Z,1535209785000,2018-08-25T15:09:45Z,139,135,0,32,0,0,2,0,19,0,2,0,1,Port,7222607 AND positionreceived:>=1534520161000 AND positionreceived:<=1535209785000,0,,,0.36110500826659125,1,0,,,
IMO{'7222607'}-IDJKT-2018-08-27IDANR-2018-09-03,7222607,IDJKT,1535341666000,2018-08-27T03:47:46Z,1535471470000,2018-08-28T15:51:10Z,IDANR,1535969170000,2018-09-03T10:06:10Z,1536047676000,2018-09-04T07:54:36Z,138,138,0,0,0,0,0,0,21,0,1,0,0,Port,7222607 AND positionreceived:>=1535341666000 AND positionreceived:<=1536047676000,0,,,0.37478362372337054,1,0,,,
IMO{'7222607'}-IDJKT-2018-09-04IDJKT-2018-09-11,7222607,IDJKT,1536105381000,2018-09-04T23:56:21Z,1536218911000,2018-09-06T07:28:31Z,IDJKT,1536652248000,2018-09-11T07:50:48Z,1536853224000,2018-09-13T15:40:24Z,120,109,0,31,0,0,10,32,23,0,2,0,2,Anchorage,7222607 AND positionreceived:>=1536105381000 AND positionreceived:<=1536767903000,0,,,,,0,,,IMO{'7222607'}-IDJKT-2018-09-12IDJKT-2018-09-17
IMO{'7222607'}-IDJKT-2018-09-12IDJKT-2018-09-17,7222607,IDJKT,1536767903000,2018-09-12T15:58:23Z,1536853224000,2018-09-13T15:40:24Z,IDJKT,1537228403000,2018-09-17T23:53:23Z,1537862034000,2018-09-25T07:53:54Z,104,104,0,23,0,0,0,144,31,0,2,0,1,Anchorage,7222607 AND positionreceived:>=1536767903000 AND positionreceived:<=1537747074000,0,,,,,0,,,IMO{'7222607'}-IDJKT-2018-09-04IDJKT-2018-09-11
IMO{'7222607'}-IDPDG-2017-09-08IDJKT-2017-09-12,7222607,IDPDG,1504856739000,2017-09-08T07:45:39Z,1505080010000,2017-09-10T21:46:50Z,IDJKT,1505260028000,2017-09-12T23:47:08Z,1505403973000,2017-09-14T15:46:13Z,50,50,0,62,0,0,0,24,15,0,2,0,1,Anchorage,7222607 AND positionreceived:>=1504856739000 AND positionreceived:<=1505346988000,0,,,0.7795897286296624,1,0,,,
